Seed,Count,Percent
0,3845,0.4001456967426371
42,1661,0.17285877822874388
1,1614,0.16796753044021231
1234,398,0.041419502549692996
123,168,0.017483609116453323
10,136,0.014153397856176501
3,120,0.012488292226038089
12345,105,0.010927255697783328
2,99,0.010302841086481423
5,67,0.0069726298262046
100,59,0.006140077011135394
4,39,0.004058694973462379
13,38,0.003954625871578728
11,36,0.003746487667811427
1999,35,0.003642418565927776
113,33,0.0034342803621604744
8,32,0.003330211260276824
23,29,0.0030180039546258714
211,28,0.002913934852742221
9,26,0.0027057966489749193
234,25,0.0026017275470912684
12,24,0.002497658445207618
123456,24,0.002497658445207618
1337,23,0.002393589343323967
1234567,23,0.002393589343323967
15,23,0.002393589343323967
666,20,0.002081382037673015
12345678901,18,0.0018732438339057135
17,18,0.0018732438339057135
7,18,0.0018732438339057135
271828,18,0.0018732438339057135
137,17,0.0017691747320220626
200,16,0.001665105630138412
21,16,0.001665105630138412
4321,15,0.0015610365282547611
50,15,0.0015610365282547611
2015,14,0.0014569674263711105
99,12,0.001248829222603809
123456789,12,0.001248829222603809
1234567890,11,0.0011447601207201581
20,11,0.0011447601207201581
23123,11,0.0011447601207201581
777,11,0.0011447601207201581
33,11,0.0011447601207201581
415,11,0.0011447601207201581
324089,11,0.0011447601207201581
1000,10,0.0010406910188365075
2016,9,0.0009366219169528567
6,9,0.0009366219169528567
131,9,0.0009366219169528567
241,9,0.0009366219169528567
531,8,0.000832552815069206
45,8,0.000832552815069206
999,8,0.000832552815069206
132987,8,0.000832552815069206
2013,8,0.000832552815069206
500,8,0.000832552815069206
31337,7,0.0007284837131855552
30,7,0.0007284837131855552
111,7,0.0007284837131855552
513,7,0.0007284837131855552
61526,7,0.0007284837131855552
12345678,6,0.0006244146113019045
2341,6,0.0006244146113019045
16,6,0.0006244146113019045
201,6,0.0006244146113019045
1023,6,0.0006244146113019045
6418304027311682180,6,0.0006244146113019045
76,6,0.0006244146113019045
20160416,5,0.0005203455094182537
22,5,0.0005203455094182537
40,5,0.0005203455094182537
37,5,0.0005203455094182537
356964763,5,0.0005203455094182537
13013,5,0.0005203455094182537
3465343,5,0.0005203455094182537
44,4,0.000416276407534603
1126,4,0.000416276407534603
43,4,0.000416276407534603
9275,4,0.000416276407534603
